Online Class 12 Assembly,งานในคาบเรียน,10:10 17-03-2021,12:15 17-03-2021,มากที่สุด,เสร็จแล้ว
Lab 13 Assignment - Project 3,การบ้าน,16:00 09-03-2021,23:59 15-03-2021,มากที่สุด,เสร็จแล้ว
การบ้าน 1 Algo,การบ้าน,00:00 14-03-2021,23:59 21-03-2021,มาก,เสร็จแล้ว
การบ้าน 2 algo,การบ้าน,00:00 14-03-2021,23:59 21-03-2021,มาก,กำลังทำ
รับ สด.8,งานธุรการ,08:00 01-04-2021,16:00 01-04-2021,มากที่สุด,ยังไม่ทำ
Lab 11 assignment - Project 2,การบ้าน,16:00 23-02-2021,11:59 01-03-2021,มาก,เสร็จแล้ว
online class 11 Assembly,การบ้าน,10:00 03-03-2021,13:00 03-03-2021,มาก,เสร็จแล้ว
Exercise 7 Java,งานในคาบเรียน,08:00 16-03-2021,11:00 16-03-2021,มากที่สุด,เสร็จแล้ว
Exercise 5 Java,งานในคาบเรียน,08:00 02-03-2021,11:00 02-03-2021,มากที่สุด,เสร็จแล้ว
