Fundamentals of Database Systems,คาบเรียน,15:30,17:00,มากที่สุด,กำลังทำ,Mon-Fri
Software Construction,คาบเรียน,8:00,11:00,มากที่สุด,กำลังทำ,Tue
Software Construction(lab),คาบเรียน,16:00,18:00,มากที่สุด,กำลังทำ,Tue
Assembly Language and Computer Architecture,คาบเรียน,10:30,12:30,มากที่สุด,กำลังทำ,Wed-Fri
Information Technology for Entrepreneurs,คาบเรียน,12:30,15:30,มากที่สุด,กำลังทำ,Wed
ทบทวนภาษาจีน,การเรียนรู้ด้วยตนเอง,10:00,11:00,มาก,กำลังทำ,Sat
ซ้อมดนตรี,การพักผ่อน,10:00,11:00,ปานกลาง,กำลังทำ,Sun
